Data Size,Run #,Bubble Sort,Count Sort,Radix Sort,
10000,1,188,9,14,
10000,2,144,2,9,
10000,3,148,1,5,
10000,4,154,1,6,
10000,5,148,1,9,
25000,1,1024,1,7,
25000,2,1242,2,8,
25000,3,1011,2,5,
25000,4,1025,2,4,
25000,5,1009,1,4,
